Gene	Ribohits.Binary	Abundance	ISD.0.iupred2	ISD.grafted.iupred2	ISD.grafted.sqrt	ISD.ORF.iupred2	ISD.Last10.iupred2	ISD.3UTR.iupred2	Length.0	Length.m1	Length.m2	Disorder.prop.0	RSA.hydrophilicity.0	Length.3UTR	Fragile
YAL002W	0	8.44	0.2338	0.2498575	0.437460062071179	0.113949607535322	0.0954	0.0663	3	6	NA	0.188	0.2025	57	1
YAL003W	1	2586	0.0778	0.17114	0.352865792671758	0.361356796116505	0.4353	0.1539	5	9	19	0.3375	0.23675	222	0
YAL005C	0	4919	0.619	0.238855	0.453210674934198	0.397228193146417	0.9399	0.0348	7	NA	15	0.2435	0.239166666666667	145	1
YAL007C	1	323	0.0593	0.173565	0.389907167574892	0.119189302325581	0.0236	0.0156	17	23	14	0.3196875	0.2684375	145	0
YAL008W	1	23.6	0.0054	0.040315	0.186871136635592	0.0936196969696969	0.0068	0.0335	33	8	5	0.30771875	0.2251875	128	0
YAL009W	1	9.61	0.2804	0.2584375	0.483673139548409	0.159591505791506	0.5232	0.0336	10	27	18	0.497	0.285444444444445	124	0
YAL010C	1	9.91	NA	NA	NA	0.226031845841785	0.1097	0.1769	1	6	3	NA	NA	100	0
YAL011W	1	15.1	0.1448	0.13816	0.330165965598242	0.54316656	0.4411	0.0176	13	23	10	0.37925	0.2215	98	0
YAL012W	1	684	0.1342	0.130565	0.337928407881433	0.270847715736041	0.3913	0.1056	24	14	22	0.402782608695652	0.257173913043478	100	0
YAL013W	1	8.12	0.0209	0.0569225	0.205607824117238	0.51279975308642	0.3659	0.0387	18	28	15	0.337823529411765	0.216647058823529	102	0
YAL014C	0	1.95	0.0015	0.020435	0.120787812399488	0.434456862745098	0.0012	7e-04	15	7	NA	0.252785714285714	0.211357142857143	133	1
YAL015C	0	2.56	NA	NA	NA	0.229199749373434	0.3198	0.1578	NA	NA	NA	NA	NA	6	1
YAL016W	1	368	0.0287	0.2412625	0.42402184733524	0.123811811023622	0.0695	0.0145	2	16	15	0.113	0.187	69	0
YAL020C	0	1.37	0.0506	0.36618	0.556384247951101	0.273598198198198	0.0581	0.0319	2	NA	5	0.259	0.269	76	1
YAL021C	0	44.6	0.0242	0.0333675	0.174610751089129	0.358063201911589	0.2239	0.0242	76	31	19	0.363813333333333	0.23108	229	0
