Gene	Ribohits.Binary	Abundance	ISD.0.iupred2	ISD.grafted.iupred2	ISD.grafted.sqrt	ISD.ORF.iupred2	ISD.Last10.iupred2	ISD.3UTR.iupred2	Length.0	Length.m1	Length.m2	Disorder.prop.0	RSA.hydrophilicity.0	Length.3UTR	Fragile	Ribohits.summed	Ribohits.summed.length	ISD.p1.iupred2	ISD.p2.iupred2	Length.p1	Length.p2	RSA.p1	RSA.p2	Disprop.p1	Disprop.p2	ISD.p2.grafted	tai.4.log
YAL002W	0	8.44	0.2338	0.2498575	0.4360925	0.113949607535322	0.0954	0.0663	3	6	NA	0.188	0.2025	57	1	0	0	NA	0.1045	NA	5	NA	0.2044	NA	0.2176	0.1579525	NA
YAL003W	1	2586	0.0778	0.17114	0.3502775	0.361356796116505	0.4353	0.1539	5	9	19	0.3375	0.23675	222	0	218	0.986425339366516	0.0172	0.021	18	8	0.251333333333333	0.217125	0.304722222222222	0.24325	0.0674625	-0.583134946644627
YAL005C	0	4919	0.619	0.238855	0.4495875	0.397228193146417	0.9399	0.0348	7	NA	15	0.2435	0.239166666666667	145	1	0	0	0.6132	NA	14	NA	0.273214285714286	NA	0.394857142857143	NA	NA	-1.01698937546829
YAL007C	1	323	0.0593	0.173565	0.3836475	0.119189302325581	0.0236	0.0156	17	23	14	0.3196875	0.2684375	145	0	82	0.569444444444444	0.044	0.1923	13	22	0.256769230769231	0.267590909090909	0.379384615384615	0.406636363636364	0.29732	-1.22534821438013
YAL008W	1	23.6	0.0054	0.040315	0.1389275	0.0936196969696969	0.0068	0.0335	33	8	5	0.30771875	0.2251875	128	0	20	0.15748031496063	0.2181	0.2383	4	7	0.39675	0.313285714285714	0.61025	0.449857142857143	0.47319	-0.819089803489084
YAL009W	1	9.61	0.2804	0.2584375	0.479675	0.159591505791506	0.5232	0.0336	10	27	18	0.497	0.285444444444445	124	0	14	0.113821138211382	0.2936	0.0279	17	26	0.272294117647059	0.231923076923077	0.470235294117647	0.294269230769231	0.04859	-1.45021911776957
YAL010C	1	9.91	NA	NA	NA	0.226031845841785	0.1097	0.1769	1	6	3	NA	NA	100	0	5	0.0505050505050505	0.163	0.166	2	5	0.3885	0.2736	0.594	0.428	0.35479	NA
YAL011W	1	15.1	0.1448	0.13816	0.324385	0.54316656	0.4411	0.0176	13	23	10	0.37925	0.2215	98	0	3	0.0309278350515464	0.0227	0.016	9	22	0.192888888888889	0.1755	0.235	0.213863636363636	0.0156775	-1.06510785753279
YAL012W	1	684	0.1342	0.130565	0.3170975	0.270847715736041	0.3913	0.1056	24	14	22	0.402782608695652	0.257173913043478	100	0	62	0.626262626262626	0.1405	0.4357	21	13	0.234761904761905	0.244230769230769	0.315666666666667	0.513846153846154	0.3777875	-1.44800938060277
YAL013W	1	8.12	0.0209	0.0569225	0.186705	0.51279975308642	0.3659	0.0387	18	28	15	0.337823529411765	0.216647058823529	102	0	8	0.0792079207920792	0.3376	0.0238	14	27	0.262285714285714	0.217148148148148	0.401071428571429	0.325481481481481	0.048625	-1.39443322994102
YAL014C	0	1.95	0.0015	0.020435	0.1091075	0.434456862745098	0.0012	7e-04	15	7	NA	0.252785714285714	0.211357142857143	133	1	0	0	NA	0.0018	NA	6	NA	0.193833333333333	NA	0.300333333333333	0.11592	-1.52073801675239
YAL015C	0	2.56	NA	NA	NA	0.229199749373434	0.3198	0.1578	NA	NA	NA	NA	NA	6	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL016W	1	368	0.0287	0.2412625	0.4240325	0.123811811023622	0.0695	0.0145	2	16	15	0.113	0.187	69	0	36	0.529411764705882	0.1548	0.0062	14	15	0.242928571428571	0.2	0.324	0.249733333333333	0.0395875	NA
YAL020C	0	1.37	0.0506	0.36618	0.5563875	0.273598198198198	0.0581	0.0319	2	NA	5	0.259	0.269	76	1	0	0	0.1496	NA	4	NA	0.3405	NA	0.52725	NA	NA	NA
YAL021C	0	44.6	0.0242	0.0333675	0.134505	0.358063201911589	0.2239	0.0242	76	31	19	0.363813333333333	0.23108	229	0	0	0	0.2147	0.2114	18	30	0.256777777777778	0.2578	0.505222222222222	0.472	0.31366	-0.922665817682926
YAL022C	0	6.7	NA	NA	NA	0.145737137330754	0.001	0.1185	NA	NA	2	NA	NA	41	1	0	0	0.0012	NA	1	NA	0.361	NA	0.394	NA	NA	NA
YAL023C	1	110	0.0173	0.1184975	0.2914275	0.159097628458498	0.0263	0.0153	9	2	6	0.31225	0.207125	114	0	36	0.31858407079646	0.2113	0.1759	5	1	0.295	0.342	0.5592	0.285	0.37919	-0.353364405225832
YAL025C	1	77.6	0.296	0.05166	0.179555	0.481572549019608	0.9296	0.1028	17	11	19	0.2790625	0.213875	202	0	59	0.293532338308458	0.5436	0.6553	18	10	0.2405	0.2561	0.357	0.3676	0.3164225	-1.00962481650081
YAL028W	0	10.9	0.0103	0.0528725	0.1843825	0.496948106060606	0.0154	0.0051	12	NA	3	0.296636363636364	0.220090909090909	79	1	0	0	0.1986	NA	2	NA	0.446	NA	0.588	NA	NA	-1.49579950696806
YAL029C	0	52.1	NA	NA	NA	0.181121753908906	0.176	0.0274	NA	4	NA	NA	NA	60	1	0	0	NA	0.2775	NA	3	NA	0.359666666666667	NA	0.461	0.4312125	NA
YAL030W	1	36	0.0393	0.135265	0.32923	0.318564102564103	0.0115	0.0057	15	17	10	0.310357142857143	0.237357142857143	111	0	23	0.209090909090909	0.0209	0.0288	9	16	0.211111111111111	0.2374375	0.350444444444444	0.375375	0.1154025	-0.571890447823858
YAL031C	1	7.79	0.3273	0.2374825	0.433195	0.326791184210526	0.4965	0.0247	5	48	21	0.29625	0.23175	164	0	9	0.0552147239263804	0.3638	0.1096	20	47	0.2873	0.23836170212766	0.4114	0.344063829787234	0.0873075	-1.40294953295536
YAL032C	1	19.6	0.8231	0.515515	0.6976525	0.529743535620053	0.6549	0.1035	6	4	15	0.5124	0.3256	118	0	80	0.683760683760684	0.6886	0.8319	14	3	0.297428571428571	0.293333333333333	0.470428571428571	0.624666666666667	0.4888075	-1.53684976088825
